연번,Element ID,"항목명
(영문)","항목명
(국문)","필수
여부",OID,항목검증룰,"관계
Element ID",최대길이,"데이터 
유형",허용치,nullFlavor,비고,항목검증룰(변경내역),Question,CRSCUBE ANSWER
1,N.1.1,Types of Message in batch,배치의 ICSR 유형,필수,2.16.840.1.113883.3.989.2.1.1.1,"1. 필수값으로 항목값 여부 검증
2. 입력값이 2자리 이하인지 검증
3. 입력값은 숫자 ""1""만 허용",,2,N,1=ichicsr,,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 2자리 이하인지 검증
4. 입력값은 숫자 ""1""만 허용","1. batch는 여러 개의 ICSR를 포함한 1개의 XML 파일로 알고 있습니다. Batch를 사용하지 않고 xml 파일 1개 당 ICSR를 1개씩 보고하는 경우, N 항목이 필요 없는지 문의 드립니다. 
2. 화면 보고에서는 N 항목이 필요 없는지 문의 드립니다.","- N항목까지가 표준 XML입니다. 즉 case가 1개여도 동일 구조로 해야 합니다.
- 화면 보고는 화면의 내용만 입력하면 됩니다."
2,N.1.2,Batch Number,배치 번호,필수,2.16.840.1.113883.3.989.2.1.3.22,"1. 필수값으로 항목값 여부 검증
2. 입력값이 100자 이하인지 검증",,100,AN,자유기재,,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 100자 이하인지 검증",,
3,N.1.3,Batch Sender Identifier,배치 보고자 ID,필수,2.16.840.1.113883.3.989.2.1.3.13,"1. 필수값으로 항목값 여부 검증
2. 입력값이 60자 이하인지 검증",,60,AN,자유기재,,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 60자 이하인지 검증
4. 입력값은 부여한 sender ID와 비교 검증
   - CT-O-0000000000 / CT-T-0000000000
   - CU-O-0000000000 / CU-T-0000000000
   - KR-O-0000000000 / KR-T-0000000000
   - FR-O-0000000000 / FR-T-0000000000",- 이부분은 변경되었으므로 수정이 필요할 것 같습니다.(1개의 Sender ID로 변경됨),-https://nedrug.mfds.go.kr/CCCBB06F010 에서 새로운 1개의 Sender ID 받는 화면으로 변경되었고 그 외 연계 ID도 추가되었습니다.
4,N.1.4,Batch Receiver Identifier,배치 수신자 ID,필수,2.16.840.1.113883.3.989.2.1.3.14,"1. 필수값으로 항목값 여부 검증
2. 입력값이 60자 이하인지 검증
3. 허용된 입력값 검증",,60,AN,자유기재,,"분야별 4개 분리
 - 임상시험 :  MFDS-O-CT (테스트환경 - MFDS-T-CT)
 - 치료목적 :  MFDS-O-CU (테스트환경 - MFDS-T-CU)
 - 시판후국내 :  MFDS-O-KR (테스트환경 - MFDS-T-KR)
 - 시판후국외 :  MFDS-O-FR (테스트환경 - MFDS-T-FR)","1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 60자 이하인지 검증
4. 입력값은 ""MFDS""만 허용",- sender ID 분류가 삭제됨에 따라 새로 Receiver ID 분류가 생성된 것인가요?,-네 맞습니다.
5,N.1.5,Date of Batch Transmission,배치 전송 날짜,필수,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 날짜 형식인지 검증
3. 초단위까지 입력되었는지 검증
4. 미래날짜는 입력불가 ",,-,Date/Time,CCYYMMDDhhmmss[+/-ZZzz],,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 날짜 형식인지 검증
3. 초단위까지 입력되었는지 검증
4. 미래날짜는 입력불가 ",,
6,N.2.r.1,Message Identifier,ICSR 식별자,필수,2.16.840.1.113883.3.989.2.1.3.1,"1. 필수값으로 항목값 여부 검증
2. 입력값이 100자 이하인지 검증",,100,AN,자유기재,,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 100자 이하인지 검증",,
7,N.2.r.2,Message Sender Identifier,ICSR 보고자 ID,필수,2.16.840.1.113883.3.989.2.1.3.11,"1. 필수값으로 항목값 여부 검증
2. 입력값이 60자 이하인지 검증",,60,AN,자유기재,,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 60자 이하인지 검증
4. 입력값은 부여한 sender ID와 비교 검증
   - CT-O-0000000000 / CT-T-0000000000
   - CU-O-0000000000 / CU-T-0000000000
   - KR-O-0000000000 / KR-T-0000000000
   - FR-O-0000000000 / FR-T-0000000000

1)임상시험: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CT-O-0000000000 / CT-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""1=clinical trials"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사. G.k.1의 항목값은 ""1"" 이어야함
아. C.1.7의 항목값은 ""예"" 이어야함

2)임상시험용 의약품 치료목적 사용 건: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CU-O-0000000000 / CU-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""2=individual patient use(compassionate use)"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사. G.k.1의 항목값은 ""1"" 이어야함
아. C.1.7의 항목값은 ""예"" 이어야함",,
8,N.2.r.3,Message Receiver Identifier,ICSR 수신자 ID,필수,2.16.840.1.113883.3.989.2.1.3.12,"1. 필수값으로 항목값 여부 검증
2. 입력값이 60자 이하인지 검증
3. 입력값은 ""MFDS""만 허용",,60,AN,자유기재,,"분야별 4개 분리
 - 임상시험 :  MFDS-O-CT (테스트환경 - MFDS-T-CT)
 - 치료목적 :  MFDS-O-CU (테스트환경 - MFDS-T-CU)
 - 시판후국내 :  MFDS-O-KR (테스트환경 - MFDS-T-KR)
 - 시판후국외 :  MFDS-O-FR (테스트환경 - MFDS-T-FR)","1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 60자 이하인지 검증
4. 입력값은 ""MFDS""만 허용",,
9,N.2.r.4,Date of Message Creation,ICSR 작성일,필수,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 날짜 형식인지 검증
3. 초단위까지 입력되었는지 검증
4. 미래날짜는 입력불가",C.1.2,-,Date/Time,CCYYMMDDhhmmss[+/-ZZzz],,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 날짜 형식인지 검증
3. 초단위까지 입력되었는지 검증
4. 미래날짜는 입력불가
5. C.1.2와 동일한지 검증",,
10,C.1.1,Sender’s (case) Safety Report Unique Identifier,보고자관리번호,필수,2.16.840.1.113883.3.989.2.1.3.1,"1. 필수값으로 항목값 여부 검증
2. 입력값이 100자 이하인지 검증",,100,AN,"자유기재
(국가코드-회사명-보고서번호)",,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 100자 이하인지 검증",,
11,C.1.2,Date of Creation,작성일,필수,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 날짜 형식인지 검증
3. 초단위까지 입력되었는지 검증
4. 미래날짜는 입력불가
5. N.2.r.4와 동일한지 검증",N.2.r.4,-,Date/Time,CCYYMMDDhhmmss[+/-ZZzz],,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 날짜 형식인지 검증
3. 초단위까지 입력되었는지 검증
4. 미래날짜는 입력불가
5. N.2.r.4와 동일한지 검증",,
12,C.1.3,Type of Report,보고 구분,필수,2.16.840.1.113883.3.989.2.1.1.2,"1. 필수값으로 항목값 여부 검증
2. 입력값이 1자 이하인지 검증
3. 입력값은 ""1"",""2"",""3"",""4""만 허용함
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 ""2""만 허용
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 ""2""만 허용",N.2.r.3,1,N,"1=자발적 보고
2=시험/연구에서 보고
3=기타
4=정보 이용불가(불명)",,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 1자 이하인지 검증
4. 입력값은 ""1"",""2"",""3"",""4""만 허용함
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 ""2""만 허용
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 ""2""만 허용
5. 입력값이 ""2""인 경우 C.5.4항목이 필수로 입력되어야 함

1)임상시험: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CT-O-0000000000 / CT-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""1=clinical trials"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사. G.k.1의 항목값은 ""1"" 이어야함
아. C.1.7의 항목값은 ""예"" 이어야함

2)임상시험용 의약품 치료목적 사용 건: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CU-O-0000000000 / CU-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""2=individual patient use(compassionate use)"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사. G.k.1의 항목값은 ""1"" 이어야함
아. C.1.7의 항목값은 ""예"" 이어야함","MFDS Report Type이 KR이면서 PMS, OS, 기타 연구의 경우  2번 허용됩니까?  

2번이 아닐 경우 C.5(Study Indetification)의 내용은 본 항목이 2번일 경우만 기재하는 것으로 이해하고 있는데 중 Other Studies Type (C.5.4.KR.1)는 기재하도록 되어 있어서 충돌 할 것 같습니다. ",
13,C.1.4,Date Report Was First Received from Source,최초 발생인지일,필수,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 날짜 형식인지 검증
3. 최소 CCYYMMDD까지 입력되었는지 검증
4. 미래날짜는 입력불가 ",,-,Date/Time,CCYYMMDD (Minimum),,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 날짜 형식인지 검증
3. 최소 CCYYMMDD까지 입력되었는지 검증
4. 미래날짜는 입력불가 ",,
14,C.1.5,Date of Most Recent Information for This Report,가장 최근의 발생인지일,필수,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 날짜 형식인지 검증
3. 최소 CCYYMMDD까지 입력되었는지 검증
4. 미래날짜는 입력불가
5. C.1.4 항목에서의 날짜보다 과거일수 없음(동일할수 있음)",C.1.4,-,Date/Time,CCYYMMDD (Minimum),,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 날짜 형식인지 검증
3. 최소 CCYYMMDD까지 입력되었는지 검증
4. 미래날짜는 입력불가
5. C.1.4 항목에서의 날짜보다 과거일수 없음(동일할수 있음)",,
15,C.1.6.1,Are Additional Documents Available?,추가 자료 여부,필수,2.16.840.1.113883.3.989.2.1.1.19,"1. 필수값으로 항목값 여부 검증
2. 입력값은 ""예"",""아니오""만 허용함","C.1.6.1.r.1, 
C.1.6.1.r.2",-,Boolean,"예
아니오",,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값은 ""예"",""아니오""만 허용함
4. 입력값이 ""예""인 경우 C.1.6.1.r.1항목이 필수로 입력되어야 함",,
16,C.1.6.1.r.1,Documents Held by Sender,자료 설명,조건부필수,2.16.840.1.113883.3.989.2.1.1.27,"1. 조건부필수값으로 C.1.6.1항목값이 ""예""인 경우 항목값 입력여부 검증
 1) C.1.6.1항목값이 ""예""인 경우 필수
2. 입력값이 2000자 이하인지 검증",C.1.6.1,2000,AN,자유기재,,,"1. 조건부필수값으로 C.1.6.1항목값이 ""예""인 경우 항목값 입력여부 검증
 1) C.1.6.1항목값이 ""예""인 경우 필수
2. OID 비교 검증
3. 입력값이 2000자 이하인지 검증",,
17,C.1.6.1.r.2,Included Documents,첨부 문서,비필수,,"1. 비필수으로, 항목에 입력값이 있는 경우 첨부된 파일이 허용하는 형식인지 검증
2. 압푹파일 첨부불가 ",C.1.6.1,-,N/A,"PDF, JPEG/JPG, TXT, RTF, TIFF/TIF, HTML, Doc, Docx, XLS, XLSX, DICOM",,,"1. 비필수으로, 항목에 입력값이 있는 경우 첨부된 파일이 허용하는 형식인지 검증
2. 첨부불가 DICOM, ZIP",,
18,C.1.7,Does This Case Fulfil the Local Criteria for an Expedited Report?,신속보고 여부,필수,2.16.840.1.113883.3.989.2.1.1.19,"1. 필수값으로 항목값 여부 검증
2. 입력값은 ""예"",""아니오""만 허용함
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 ""예""만 허용
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 ""예""만 허용
3.  nullflavor는 ""NI""만 허용함",N.2.r.3,-,Boolean,"예
아니오",NI,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값은 ""예"",""아니오""만 허용함
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 ""예""만 허용
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 ""예""만 허용
4.  nullflavor는 ""NI""만 허용함

1)임상시험: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CT-O-0000000000 / CT-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""1=clinical trials"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사. G.k.1의 항목값은 ""1"" 이어야함
아. C.1.7의 항목값은 ""예"" 이어야함

2)임상시험용 의약품 치료목적 사용 건: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CU-O-0000000000 / CU-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""2=individual patient use(compassionate use)"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사. G.k.1의 항목값은 ""1"" 이어야함
아. C.1.7의 항목값은 ""예"" 이어야함",,
19,C.1.8.1,Worldwide Unique Case Identification,고유식별 보고자관리번호,필수,2.16.840.1.113883.3.989.2.1.3.2,"1. 필수값으로 항목값 여부 검증
2. 입력값이 100자 이하인지 검증",,100,AN,"자유기재
(국가코드-회사명-보고서번호)",,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 100자 이하인지 검증",,
20,C.1.8.2,First Sender of This Case,최초 보고자 규제당국 여부,필수,2.16.840.1.113883.3.989.2.1.1.3,"1. 필수값으로 항목값 여부 검증
2. 입력값이 1자 이하인지 검증
3. 입력값은 ""1"",""2""만 허용함",,1,N,"1=규제 당국
2=기타",,"행정기관 및 공공기관이 아닌 경우 ""2=기타"" 입력","1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 1자 이하인지 검증
4. 입력값은 ""1"",""2""만 허용함",,
21,C.1.9.1,Other Case Identifiers in Previous Transmissions,이전 전송에서의 기타 보고자관리번호 유무,필수,2.16.840.1.113883.3.989.2.1.1.23,"1. 필수값으로 항목값 여부 검증
2. 입력값은 ""예""만 허용함
3. nullflavor는 ""NI""만 허용함
4. 입력값이 ""예""인 경우 C.1.9.1.r.1, C.1.9.1.r.2항목이 필수로 입력되어야 함","C.1.9.1.r.1, 
C.1.9.1.r.2",-,Boolean,예,NI,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값은 ""예""만 허용함
4. nullflavor는 ""NI""만 허용함
5. 입력값이 ""예""인 경우 C.1.9.1.r.1, C.1.9.1.r.2항목이 필수로 입력되어야 함",,
22,C.1.9.1.r.1,Source(s) of the Case Identifier,자료원,조건부필수,2.16.840.1.113883.3.989.2.1.3.3,"1. 조건부필수값으로 C.1.9.1 항목이 ""예""인 경우 항목값 여부 검증
 1) C.1.9.1항목값이 ""예""인 경우 필수
2. 입력값이 100자 이하인지 검증",C.1.9.1,100,AN,자유기재,,,"1. 조건부필수값으로 C.1.9.1 항목이 ""예""인 경우 항목값 여부 검증
 1) C.1.9.1항목값이 ""예""인 경우 필수
2. OID 비교 검증
3. 입력값이 100자 이하인지 검증",,
23,C.1.9.1.r.2,Case Identifier(s),보고자관리번호,조건부필수,2.16.840.1.113883.3.989.2.1.3.3,"1. 조건부필수값으로 C.1.9.1 항목이 ""예""인 경우 항목값 여부 검증
 1) C.1.9.1항목값이 ""예""인 경우 필수
2. 입력값이 100자 이하인지 검증",C.1.9.1,100,AN,"자유기재
(국가코드-회사명-보고서번호)",,,"1. 조건부필수값으로 C.1.9.1 항목이 ""예""인 경우 항목값 여부 검증
 1) C.1.9.1항목값이 ""예""인 경우 필수
2. OID 비교 검증
3. 입력값이 100자 이하인지 검증
",,
24,C.1.10.r,Identification Number of the Report Which Is Linked to This Report ,참조보고의 보고자관리번호,비필수,2.16.840.1.113883.3.989.2.1.3.2,"1. 비필수로 항목에 값이 있는 경우 
2. 입력값이 100자 이하인지 검증",,100,AN,자유기재,,,"1. 비필수로 항목에 값이 있는 경우 OID 비교 검증
2. 입력값이 100자 이하인지 검증",,
25,C.1.11.1,Report Nullification / Amendment,보고 무효화/수정,비필수,2.16.840.1.113883.3.989.2.1.1.5,"1. 비필수로 항목에 값이 있는 경우 검증
2. 입력값이 1자 이하인지 검증
3. 입력값은 ""1"",""2""만 허용함",C.1.11.2,1,N,"1=무효화
2=수정",,,"1. 비필수로 항목에 값이 있는 경우 OID 비교 검증
2. 입력값이 1자 이하인지 검증
3. 입력값은 ""1"",""2""만 허용함
4. 항목에 값이 입력된 경우 C.1.11.2항목에 입력값 입력 여부 검증
5. ""1""을 입력한 경우 동일한 C.1.8.1을 기준으로 초회보고 및 추적보고 모두 무효화 됨
6. ""2""를 입력한 경우 동일한 C.1.8.1을 기준으로 C.1.5가 동일한 같은 건이 수정되는 건에 해당함 ","- 본 개정에서 무효화/수정 방법이 분류되었습니다. 다음의 저의 이해가 맞는 것인지요? '수정 시' 시간 순으로 가장 나중에 보고되는 케이스가 분석대상이 되는 것인지요?
무효화시: 동일한 고유식별 보고자 관리번호 내 모든 케이스 삭제*
수정시: 동일한 고유식별 보고자 관리번호 내 Day 0가 동일한 이전 케이스에서 정보 수정
*삭제: 분석대상에서 제외되나 보고 기록으로는 남아있음.",
26,C.1.11.2,Reason for Nullification / Amendment,보고 무효화/수정 이유,조건부필수,2.16.840.1.113883.3.989.2.1.1.23,"1. 조건부필수값으로 C.1.11.1 항목에 값이 있는 경우 항목값 여부 검증
 1) C.1.11.1항목값이 ""예""인 경우 필수
2. 입력값이 2000자 이하인지 검증",C.1.11.1,2000,AN,자유기재,,,"1. 조건부필수값으로 C.1.11.1 항목에 값이 있는 경우 항목값 여부 검증
 1) C.1.11.1항목값이 ""예""인 경우 필수
2. OID 비교 검증
3. 입력값이 2000자 이하인지 검증",,
27,C.2.r.1.1,Reporter’s Title,원보고자의 직위,비필수,,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 50자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"", ""UNK"" 만 허용",,50,AN,자유기재,"MSK, ASKU, NASK, UNK",,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 50자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"", ""UNK"" 만 허용",,
28,C.2.r.1.2,Reporter’s Given Name,원보고자의 이름,비필수,,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 60자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용
4. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증",N.2.r.3,60,AN,자유기재,"MSK, ASKU, NASK",임상시험과 치료목적 사용승인의 경우 필수값,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 60자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용
4. 한국인의 경우 C.2.r.1.2항목에 풀네임을 작성하도록 안내할 예정 / 풀네임이 아니더라도 입력 가능
5. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증

1)임상시험: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CT-O-0000000000 / CT-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""1=clinical trials"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사.  C.1.7의 항목값은 ""예"" 이어야함

2)임상시험용 의약품 치료목적 사용 건: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CU-O-0000000000 / CU-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""2=individual patient use(compassionate use)"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사. C.1.7의 항목값은 ""예"" 이어야함",,
29,C.2.r.1.3,Reporter’s Middle Name,원보고자의 중간 이름,비필수,,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 60자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용",,60,AN,자유기재,"MSK, ASKU, NASK",,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 60자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용",,
30,C.2.r.1.4,Reporter’s Family Name,원보고자의 성,비필수,,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 60자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용",,60,AN,자유기재,"MSK, ASKU, NASK",,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 60자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용",,
31,C.2.r.2.1,Reporter’s Organisation,원보고자의 조직,비필수,,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 60자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용
5. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증",,60,AN,자유기재,"MSK, ASKU, NASK",임상시험과 치료목적 사용승인의 경우 필수값,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 60자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용
5. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증",,
32,C.2.r.2.2,Reporter’s Department,원보고자의 부서,비필수,,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 60자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용",,60,AN,자유기재,"MSK, ASKU, NASK",,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 60자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용",,
33,C.2.r.2.3,Reporter’s Street,원보고자의 주소(상세주소),비필수,,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 100자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용
4. 임상시험과 치료목적 사용승인의 경우 C.2.r.2.3, C.2.r.2.4, C.2.r.2.5 중에 최소 1항목 입력 검증","C.2.r.2.4, 
C.2.r.2.5",100,AN,자유기재,"MSK, ASKU, NASK","임상시험과 치료목적 사용승인의 경우 필수값
 * C.2.r.2.3, C.2.r.2.4, C.2.r.2.5 중 1개","1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 100자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용
4. 임상시험과 치료목적 사용승인의 경우 C.2.r.2.3, C.2.r.2.4, C.2.r.2.5 중에 최소 1항목 입력 검증",,
34,C.2.r.2.4,Reporter’s City,원보고자의 주소(도로명과 번호),비필수,,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 35자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용
4. 임상시험과 치료목적 사용승인의 경우 C.2.r.2.3, C.2.r.2.4, C.2.r.2.5 중에 최소 1항목 입력 검증","C.2.r.2.3, 
C.2.r.2.5",35,AN,자유기재,"MSK, ASKU, NASK","임상시험과 치료목적 사용승인의 경우 필수값
 * C.2.r.2.3, C.2.r.2.4, C.2.r.2.5 중 1개","1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 35자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용
4. 임상시험과 치료목적 사용승인의 경우 C.2.r.2.3, C.2.r.2.4, C.2.r.2.5 중에 최소 1항목 입력 검증",,
35,C.2.r.2.5,Reporter’s State or Province,"원보고자의 주소(특별시, 광역시, 도 등)",비필수,,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 40자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용
4. 임상시험과 치료목적 사용승인의 경우 C.2.r.2.3, C.2.r.2.4, C.2.r.2.5 중에 최소 1항목 입력 검증","C.2.r.2.3, 
C.2.r.2.4",40,AN,자유기재,"MSK, ASKU, NASK","임상시험과 치료목적 사용승인의 경우 필수값
 * C.2.r.2.3, C.2.r.2.4, C.2.r.2.5 중 1개","1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 40자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용
4. 임상시험과 치료목적 사용승인의 경우 C.2.r.2.3, C.2.r.2.4, C.2.r.2.5 중에 최소 1항목 입력 검증",,
36,C.2.r.2.6,Reporter’s Postcode,원보고자의 주소(우편번호),비필수,,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 15자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용",,15,AN,자유기재,"MSK, ASKU, NASK",,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 15자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용",,
